"id","esco","esco.ec","esco.mc","esco.soc","cred1","cred2","cred3","cred4","prop.aprob.exam","gen","horas","sexto","edad","Xfem","Xhijos","Xocup","XeduP","XeduM","carr11","carr14","EDAoMCEDA","busca.trabajo","sexto.mvd","sexto.priv"
723,NA,NA,NA,NA,0,0,0,0,NA,2013,"No corresponde","Montevideo Publica",18,1,0,0,NA,"Bajo",0,0,0,1,1,0
728,4.9,5.26666666666667,2.14285714285714,5.8,60,60,60,40,0.136363636363636,2013,"No corresponde","Interior Publica",18,1,0,0,"Medio","Alto",0,0,0,1,0,0
730,4.83333333333333,6.9,1.8,7.5,60,40,70,10,0.222222222222222,2013,"No corresponde","Montevideo Publica",18,0,0,0,"Medio","Alto",0,0,0,1,1,0
731,NA,NA,NA,NA,0,0,0,0,NA,2013,"Más de 40 horas","Interior Publica",20,0,0,1,"Medio","Alto",0,0,1,0,0,0
732,4.7,3.5,4.5,0,30,10,40,0,0.5,2013,"No corresponde","Interior Publica",18,1,0,0,"Bajo","Medio",1,0,0,0,0,0
736,0,0,0,0,0,0,0,0,NA,2012,"No corresponde","Interior Publica",22,1,0,0,"Alto","Bajo",1,0,0,1,0,0
738,7.14814814814815,7.75,3.8,8,80,70,40,70,0.153846153846154,2012,"No corresponde","Interior Publica",19,1,0,0,"Alto","Bajo",0,1,0,0,0,0
739,6.4375,6.53846153846154,6.14285714285714,5.75,80,90,80,70,0.125,2013,"No corresponde","Interior Publica",18,0,0,0,"Alto","Alto",1,0,0,1,0,0
743,4.66666666666667,3.8,4.4,5,50,30,20,30,0.307692307692308,2012,"No corresponde","Montevideo Privada",18,0,0,0,"Medio","Medio",0,0,0,0,1,1
749,6,6,0,0,20,0,0,0,0,2012,"No corresponde","Montevideo Privada",18,1,0,0,"Alto","Alto",0,0,0,0,1,1
752,4.73333333333333,4.73333333333333,5,3,30,60,60,80,0.227272727272727,2013,"Menos de 10 horas","Montevideo Privada",18,0,0,1,"Alto","Alto",1,0,0,0,1,1
756,9,8.93333333333333,8.66666666666667,9,90,90,50,70,0.032258064516129,2013,"Menos de 10 horas","Montevideo Privada",19,1,0,1,"Alto","Alto",0,0,0,0,1,1
763,8,8,8,0,30,0,0,0,0,2013,"No corresponde","Interior Publica",20,0,0,0,"Medio","Medio",0,0,0,0,0,0
767,6.78571428571429,7.33333333333333,6,6.25,60,50,30,0,0.0714285714285714,2013,"No corresponde","Montevideo Publica",20,0,0,0,"Alto","Alto",0,0,0,1,1,0
768,5.1875,4.33333333333333,4.33333333333333,6.5,80,10,30,0,0.25,2012,"No corresponde","Interior Publica",18,1,0,0,"Alto","Alto",1,0,0,0,0,0
769,5.22222222222222,7,2.875,6,70,70,70,0,0.318181818181818,2013,"No corresponde","Montevideo Publica",18,0,0,0,"Alto","Alto",0,0,0,1,1,0
772,5.61290322580645,6.15384615384615,3.25,6.4,70,80,60,40,0.296296296296296,2013,"No corresponde","Montevideo Privada",18,1,0,0,"Bajo","Bajo",0,1,0,0,1,1
773,9.5,9.38461538461539,10,8.66666666666667,70,90,40,60,0.0357142857142857,2012,"Menos de 10 horas","Montevideo Publica",18,0,0,1,"Medio","Medio",0,0,0,0,1,0
785,7.75,7.6,7.5,7.6,90,70,90,70,0,2013,"No corresponde","Interior Publica",18,0,0,0,"Bajo","Medio",1,0,0,0,0,0
786,7.81578947368421,7.8,7.4,8,90,90,100,60,0.102564102564103,2012,"No corresponde","Interior Publica",18,0,0,0,"Bajo","Bajo",0,0,0,0,0,0
789,NA,NA,NA,NA,0,0,0,0,NA,2012,"Más de 40 horas","Montevideo Publica",20,0,0,1,"Bajo","Alto",1,0,1,0,1,0
791,7.17241379310345,7.33333333333333,6.33333333333333,6.75,90,60,80,80,0.142857142857143,2013,"No corresponde","Montevideo Privada",18,0,0,0,"Medio","Alto",0,0,0,0,1,1
795,7.04761904761905,7.42857142857143,5.2,8,70,80,30,30,0.25,2013,"No corresponde","Montevideo Publica",19,0,0,0,"Bajo","Alto",0,1,0,0,1,0
796,1.68421052631579,4,1,0,10,10,30,0,0,2013,"No corresponde","Montevideo Privada",19,0,0,0,"Alto","Bajo",1,0,0,1,1,1
797,2.5625,0.8,3.25,7,10,30,20,10,0.285714285714286,2013,"Entre 20 y 30 horas","Montevideo Publica",22,1,0,1,"Medio","Alto",1,0,0,0,1,0
802,1.92857142857143,2,0,0,10,30,0,10,0.2,2012,"No corresponde","Interior Publica",19,0,0,0,"Bajo","Medio",1,0,0,0,0,0
803,2.33333333333333,2.33333333333333,0,0,40,0,0,0,0,2013,"No corresponde","Montevideo Publica",18,1,0,0,"Bajo","Bajo",1,0,0,0,1,0
815,4.33333333333333,3,0,7,20,0,0,0,0,2013,"No corresponde","Montevideo Publica",18,1,0,0,"Bajo","Medio",0,0,0,0,1,0
816,8.4375,7.8,9.4,8,80,10,70,0,0.1875,2012,"No corresponde","Montevideo Privada",18,0,0,0,"Bajo","Medio",1,0,0,0,1,1
817,5.3,7.33333333333333,3,6.33333333333333,30,30,20,0,0.125,2012,"No corresponde","Interior Publica",18,1,0,0,"Bajo","Bajo",0,0,0,1,0,0
819,5.23333333333333,5.75,3,7.66666666666667,70,60,60,50,0.333333333333333,2012,"No corresponde","Interior Publica",18,0,0,0,"Bajo","Bajo",0,0,0,0,0,0
826,3.15,4.2,3,3.6,40,30,20,30,0.454545454545455,2013,"No corresponde","Montevideo Privada",18,1,0,0,"Alto","Alto",0,0,0,0,1,1
834,0.714285714285714,0,0,0,0,10,0,10,1,2012,"No corresponde","Montevideo Privada",18,0,0,0,"Bajo","Bajo",1,0,0,1,1,1
840,2.88888888888889,2,2.5,7,50,40,30,20,0.428571428571429,2012,"Entre 20 y 30 horas","Montevideo Privada",20,0,0,1,"Bajo","Bajo",0,0,0,0,1,1
850,5.46666666666667,7.2,2.6,6.25,70,10,30,10,0.0833333333333333,2012,"Entre 30 y 40 horas","Montevideo Publica",18,0,0,1,"Bajo","Bajo",0,0,0,0,1,0
851,1.5,2.4,1.2,0,10,10,10,0,0,2012,"No corresponde","Montevideo Privada",18,0,0,0,"Alto","Medio",1,0,0,0,1,1
852,4.33333333333333,7.75,1.85714285714286,6.5,30,10,50,10,0.111111111111111,2013,"No corresponde","Montevideo Privada",18,0,0,0,"Bajo","Bajo",0,0,0,1,1,1
860,4.92307692307692,5.5,3.16666666666667,5,40,70,40,50,0.2,2013,"No corresponde","Montevideo Publica",20,0,0,0,"Medio","Medio",0,0,0,0,1,0
861,4.67741935483871,4.90909090909091,3.5,5,60,60,40,60,0.181818181818182,2012,"No corresponde","Interior Publica",18,0,0,0,"Medio","Medio",0,0,0,0,0,0
872,7.5,0,0,0,20,0,0,0,0,2012,"No corresponde","Montevideo Publica",19,0,0,0,"Bajo","Bajo",1,1,0,1,1,0
874,5,3.8,6,7,30,40,0,0,0.428571428571429,2013,"No corresponde","Interior Publica",18,1,0,0,"Medio","Alto",0,0,0,0,0,0
878,7.96551724137931,8.46153846153846,5.66666666666667,8.85714285714286,90,80,50,80,0.103448275862069,2013,"No corresponde","Montevideo Publica",19,0,0,0,"Bajo","Alto",0,0,0,0,1,0
879,NA,NA,NA,NA,0,0,0,0,NA,2013,"No corresponde","Montevideo Privada",19,0,0,0,"Medio","Alto",0,0,0,1,1,1
884,0,0,0,0,0,0,0,0,NA,2013,"No corresponde","Montevideo Publica",20,0,0,0,"Medio","Medio",0,0,0,1,1,0
894,2.63636363636364,3.25,2,7.5,10,10,10,70,0.333333333333333,2012,"No corresponde","Montevideo Privada",18,0,0,0,"Bajo","Bajo",0,0,0,1,1,1
902,4.84210526315789,4.5,3.16666666666667,7,30,20,60,30,0.357142857142857,2013,"No corresponde","Interior Privada",18,1,0,0,"Medio","Alto",0,0,0,0,0,1
912,2.5,0,0,0,10,0,0,0,1,2012,"No corresponde","Montevideo Publica",21,0,0,0,"Bajo","Alto",1,0,0,1,1,0
916,5.125,5.5,3,6.5,70,0,0,0,0.428571428571429,2013,"No corresponde","Montevideo Privada",18,0,0,0,"Alto","Alto",0,0,0,0,1,1
918,1,0,0,0,10,0,0,0,0,2012,"No corresponde","Montevideo Privada",20,0,0,0,NA,"Alto",0,0,0,1,1,1
920,3.9047619047619,3.83333333333333,2.85714285714286,5.75,40,60,50,0,0.466666666666667,2013,"No corresponde","Montevideo Privada",18,1,0,0,"Medio","Bajo",1,0,0,1,1,1
930,8.04545454545454,9.875,5.57142857142857,8.66666666666667,90,60,40,30,0.238095238095238,2012,"No corresponde","Montevideo Privada",18,0,0,0,"Bajo","Alto",0,0,0,0,1,1
934,6,6,6,0,20,0,0,0,0,2012,"Menos de 10 horas","Montevideo Privada",21,0,0,1,"Medio","Bajo",0,0,0,0,1,1
936,5.08695652173913,6.16666666666667,2.14285714285714,6.75,40,50,20,50,0.266666666666667,2013,"No corresponde","Interior Publica",18,1,0,0,"Bajo","Alto",1,1,0,0,0,0
937,7.72727272727273,8.07142857142857,6.375,8.5,80,80,80,90,0.03125,2013,"No corresponde","Montevideo Privada",18,0,0,0,"Alto","Alto",0,0,0,0,1,1
943,7.71428571428571,8.66666666666667,7,7,40,0,0,30,0,2012,"No corresponde","Montevideo Privada",18,1,0,0,"Bajo","Bajo",0,0,0,0,1,1
946,8.57575757575758,9.16666666666667,7.25,8.5,90,60,90,90,0.0625,2013,"No corresponde","Montevideo Privada",19,0,0,0,NA,NA,0,0,0,0,1,1
950,2.66666666666667,6,1.5,0,0,10,10,10,0.333333333333333,2012,"No corresponde","Montevideo Privada",18,0,0,0,NA,"Medio",0,0,0,0,1,1
952,6.75,7,0,0,30,10,0,0,0,2012,"Menos de 10 horas","Interior Publica",18,0,0,1,"Bajo","Bajo",1,1,1,0,0,0
953,NA,NA,NA,NA,0,0,0,0,NA,2013,"No corresponde","Montevideo Privada",18,0,0,0,"Bajo","Medio",0,0,0,0,1,1
955,4.66666666666667,5,3,6.16666666666667,10,30,70,40,0.333333333333333,2012,"No corresponde","Montevideo Privada",18,0,0,0,"Alto","Medio",0,0,0,0,1,1
959,6.60869565217391,6.55555555555556,7,6.6,60,40,50,90,0.272727272727273,2012,"No corresponde","Montevideo Privada",19,0,0,0,NA,"Bajo",1,1,0,0,1,1
963,6.26829268292683,7.16666666666667,8,7.4,90,80,115,80,0.27027027027027,2012,"No corresponde","Montevideo Privada",19,0,0,0,"Bajo","Medio",1,0,0,0,1,1
973,2.33333333333333,0,0,0,0,0,0,10,0,2013,"No corresponde","Interior Publica",19,1,0,0,"Bajo","Bajo",1,0,1,0,0,0
981,NA,NA,NA,NA,0,0,0,0,NA,2013,"No corresponde","Interior Privada",18,0,0,0,"Medio","Medio",0,0,0,0,0,1
983,6.67567567567568,9.66666666666667,6.75,8.66666666666667,90,60,70,95,0.3,2013,"No corresponde","Montevideo Privada",19,0,0,0,"Bajo","Medio",1,0,0,1,1,1
992,3.94444444444444,3.25,1.8,5.8,20,60,40,10,0.384615384615385,2013,"Más de 40 horas","Montevideo Publica",18,0,0,1,"Bajo","Bajo",1,0,0,0,1,0
994,4.51851851851852,5,1.85714285714286,5.4,90,50,20,30,0.263157894736842,2012,"No corresponde","Montevideo Privada",20,1,0,0,"Medio","Alto",0,0,0,0,1,1
997,3.77777777777778,3.75,2.25,5.25,30,40,30,10,0.181818181818182,2013,"No corresponde","Interior Publica",18,0,0,0,"Bajo","Bajo",1,0,0,0,0,0
1004,6.4,5.77777777777778,6.57142857142857,6.8,70,70,60,60,0.32,2012,"No corresponde","Interior Publica",18,1,0,0,"Bajo","Alto",0,0,0,0,0,0
1006,9.33333333333333,9.36842105263158,8.88888888888889,9.5,90,80,90,100,0.0277777777777778,2012,"No corresponde","Montevideo Privada",18,1,0,0,"Medio","Medio",0,0,0,0,1,1
