"","unidad","udad_anio","year","loc","sexo","edad","educ","nombre","jefe","desemp","size","tparcial","multiemp","privado","publico","cpsl","cpcl","profytec","oficina","manual","indust","comercio","sfinan","sperson","subemp","precario","ingreso","grupos_agnes_single_5","grupos_agnes_single_13","grupos_agnes_complete_10","grupos_agnes_complete_17","grupos_agnes_complete_3","grupos_agnes_complete_8","grupos_agnes_average_3","grupos_agnes_average_7","grupos_agnes_average_13","grupos_agnes_ward_3","grupos_agnes_ward_4","grupos_agnes_ward_5","grupos_agnes_sing_cl_10","grupos_agnes_mcl_9","grupos_agnes_mal_10"
"43","u31","IM211996",1996,"I","M","2","1","IM21",16.72,13.51,72.34,36.24,7.94,64.4,7.43,4.23,18.31,1.15,3.2,16.01,18.05,20.36,0.77,45.97,8.83,44.3,1.48,"2","4","5","6","3","4","2","3","4","2","3","3","5","5","4"
"44","u3","MH131996",1996,"M","H","1","3","MH13",23.81,15.71,23.73,27.97,12.15,65.25,16.67,5.37,7.63,32.77,33.05,7.91,10.17,20.62,21.47,4.24,10.17,5.08,3.92,"1","9","4","5","2","3","3","4","5","2","2","2","4","4","5"
"45","u12","MM131996",1996,"M","M","1","3","MM13",10.73,16.8,21.5,34.21,13.27,66.54,21.31,1.68,7.85,34.95,43.36,4.3,7.48,17.94,23.55,3.74,14.02,5.61,3.49,"1","9","4","5","2","3","3","4","5","2","2","2","4","4","5"
"46","u29","IM121996",1996,"I","M","1","2","IM12",3.67,24.03,48.46,25.33,5.12,74.23,8.64,2.93,10.1,11.71,22.4,13.03,14.49,31.77,4.83,21.67,7.32,42.31,1.56,"1","3","3","3","1","2","2","2","3","2","2","2","3","2","3"
"47","u24","IH231996",1996,"I","H","2","3","IH23",82.28,0.42,30.51,10.59,41.1,27.97,34.75,4.24,16.53,53.81,6.36,8.05,9.32,10.59,9.32,2.54,2.97,1.69,4.82,"3","6","6","7","2","5","3","5","7","3","4","4","6","6","6"
"48","u16","MM311996",1996,"M","M","3","1","MM31",35.84,8.21,72.88,39.2,9.84,61.1,7.6,3.73,20.86,3.13,5.66,16.54,17.14,15.8,1.19,47.39,8.64,19.08,2.16,"2","4","2","4","1","1","2","3","4","2","3","3","2","1","4"
"49","u8","MH321996",1996,"M","H","3","2","MH32",94.29,6.34,36.47,15.78,10.74,38.06,22.15,5.57,18.44,4.91,18.57,25.2,19.76,21.35,11.54,7.16,5.17,4.11,4.87,"1","1","1","1","1","1","1","1","1","1","1","1","1","3","1"
"50","u22","IH211996",1996,"I","H","2","1","IH21",79.28,7.09,39.22,7.77,4.79,48.08,22.44,13.8,13.36,0.87,2.4,51.63,15.11,13.65,0.44,7.92,4.28,19.39,2.22,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"51","u34","IM311996",1996,"I","M","3","1","IM31",36.59,6.52,79.87,42.47,5.71,49.13,7.13,5.07,31.54,2.38,2.54,19.18,19.81,22.35,0.32,41.52,3.8,29,1.36,"2","4","2","4","1","1","2","3","4","2","3","3","2","1","4"
"52","u18","MM331996",1996,"M","M","3","3","MM33",38.67,4,32.64,43.06,29.17,30.9,35.76,4.86,22.22,63.89,13.19,2.08,5.56,7.64,12.15,4.17,4.17,0.35,6.15,"3","6","6","7","2","5","3","6","8","3","4","4","6","7","7"
"53","u17","MM321996",1996,"M","M","3","2","MM32",37.84,8.22,48.51,35.45,9.89,45.71,19.4,3.92,20.9,12.69,26.87,11.38,15.49,20.15,5.41,17.54,7.09,8.4,3.12,"1","2","2","2","1","1","1","1","2","2","2","2","2","1","2"
"54","u36","IM331996",1996,"I","M","3","3","IM33",28.18,3.64,37.74,52.83,23.58,15.09,50,3.77,18.87,74.53,9.43,0.94,3.77,10.38,4.72,1.89,6.6,2.83,4.37,"3","6","7","8","2","6","3","6","8","3","4","4","7","7","7"
"55","u10","MM111996",1996,"M","M","1","1","MM11",2.92,27.01,59,30,9,85,3,2,6,5,6,20,24,15,3,44,10,65,1.86,"2","4","5","6","3","4","2","3","6","2","3","3","5","5","4"
