"jefe"	 "desemp"	 "size"	 "tparcial"	 "multiemp"	 "privado"	 "publico"	 "cpsl"	 "cpcl"	 "profytec"	 "oficina"	 "manual"	 "indust"	 "comercio"	 "sfinan"	 "sperson"	 "subemp"	 "precario"	 "ingreso"	 "Comp.1"	 "Comp.2"	 "norma"	 "Cos 1"	 "Cos 2"
35,47	 16,04	 81,1	 35,03	 5,52	 55,41	 8,49	 8,07	 22,51	 1,27	 4,25	 12,74	 13,59	 16,99	 0,21	 7,43	 12,74	 51,38	 1,23	 -32,4320007982029	 -19,1140000586038	 2877,24270779012	 0,365570368091227	 0,492547837614786
6,45	 31,18	 54,24	 64,96	 2,68	 77,23	 7,59	 4,24	 8,04	 4,91	 20,76	 7,81	 10,27	 29,69	 3,13	 7,37	 13,62	 72,99	 1,26	 -75,6289595194728	 7,18242123806513	 6775,28569945679	 0,844206395378521	 0,851820417447752
23,49	 17,05	 39,53	 40,37	 7,85	 65,7	 15,61	 4,58	 9,53	 8,22	 30,84	 8,22	 12,52	 21,5	 3,27	 14,77	 17,29	 39,63	 2,4	 -32,329132477533	 11,2759092132952	 1652,8994805679	 0,632326901325408	 0,709249987139913
33	 11,11	 54,55	 26,14	 4,17	 32,58	 30,3	 8,33	 20,83	 9,85	 28,79	 9,47	 10,98	 18,94	 1,14	 11,74	 13,26	 28,41	 2,02	 -2,8127519517021	 8,05279208995628	 1386,17987779012	 0,00570746529261179	 0,0524888834065752
19,61	 19,42	 56,46	 44,47	 6,75	 55,3	 16,18	 6,87	 16,53	 5,24	 22,82	 8,03	 11,64	 22,47	 1,51	 9,43	 15,6	 50,64	 1,71	 -39,7581137024399	 5,46563390919505	 2186,8894705679	 0,722810926866669	 0,736471038377281
18,83	 8,39	 34,89	 36,27	 17,27	 29,19	 45,42	 4,84	 16,06	 53,71	 12,95	 7,6	 8,46	 9,15	 1,04	 17,79	 18,48	 23,32	 3,37	 7,37638463466937	 51,6152497944894	 3766,82851501235	 0,014444790906126	 0,721706616266605
78,51	 9,68	 50,88	 25,56	 3,89	 49,59	 14,61	 21,67	 12,72	 2,24	 1,88	 59,01	 12,01	 14,72	 0	 0,71	 10,95	 47,23	 1,58	 11,776234418926	 -52,9917370122806	 3895,57506779012	 0,0355992875701836	 0,756449006215626
13,45	 42,86	 63,24	 102,94	 4,41	 80,88	 2,94	 1,47	 13,24	 0	 7,35	 10,29	 11,76	 26,47	 0	 1,47	 25	 67,65	 1,58	 -85,42237537138	 4,04765462932415	 11507,5746700123	 0,63410253014514	 0,635526245260453
90,54	 9,26	 60,76	 23,65	 4,15	 33,63	 18,16	 19,96	 23,21	 2,58	 3,92	 53,48	 10,87	 19,73	 0,22	 1,79	 10,54	 31,39	 1,68	 31,6078337633334	 -53,0366945895449	 4648,88212390123	 0,214902234254142	 0,819970484645518
24,54	 19,12	 34,05	 37,32	 3,85	 71,08	 9,4	 9,12	 7,41	 6,27	 12,82	 33,62	 15,24	 31,48	 1,85	 2,71	 12,54	 50,85	 1,79	 -36,5239432549607	 -9,88984638487854	 2229,77284279012	 0,598266516342694	 0,642131550322616
