id;gen;plan;cred1;cred1y2;cred1.2y3;cred1234;nac_lug;otros_univ;ocup_rel;sit_labNT;horas;sexto;edad;edad_t;Xfem;Xhijos;Xocup;XeduP;XeduM;XocuP;XocuM;tratamiento;inst;EDA;MC.EDA;carr04;carr11;carr12;carr14;fecing4;fecing11;fecing12;fecing14;fecingEDA;julio;EDAoMCEDA;Xnac_lug;Xhoras;XeduM_num;XeduP_num;Xedu_H;Xsexto;cred1_prop;cred1_2012;cred1y2_prop;cred1y2_2012;cred1.2y3_prop;cred1.2y3_2012;cred1234_prop;cred1234_2012
195;2012;3. Plan 12   ;10;10;10;10;Montevideo;No posee;No corresponde;No trabajó y no busca trabajo;No corresponde;Montevideo Publica;21;t20.22;1;0;0;2;2;Asalariado;Cuenta propia;1;62;0;0;0;0;1;0;NA;NA;9/2/2012;NA;NA;0;0;Montevideo;No trabaja;2;2;2;Montevideo Publica;0.111111111111111;10;0.0555555555555556;10;0.037037037037037;10;0.0277777777777778;10
196;2012;3. Plan 12   ;50;80;110;140;Montevideo;No posee;No corresponde;No trabajó y no busca trabajo;No corresponde;Montevideo Privada;18;t17.19;0;0;0;2;2;No trabaja;Sin dato;1;45;0;0;0;1;1;0;NA;13/2/2012;13/2/2012;NA;NA;0;0;Montevideo;No trabaja;2;2;2;Montevideo Privada;0.555555555555556;50;0.444444444444444;80;0.407407407407407;110;0.388888888888889;140
197;2012;3. Plan 12   ;0;0;0;0;Montevideo;No posee;No corresponde;No trabajó y no busca trabajo;No corresponde;Interior Publica;18;t17.19;1;0;0;2;1;Asalariado;Asalariado;1;125;0;0;0;0;1;0;NA;NA;13/2/2012;NA;NA;0;0;Montevideo;No trabaja;1;2;2;Interior Publica;0;0;0;0;0;0;0;0
198;2012;3. Plan 12   ;0;0;0;0;Montevideo;No posee;No corresponde;Busca trabajo por primera vez;No corresponde;Montevideo Privada;20;t20.22;0;0;0;NA;2;Asalariado;Asalariado;1;666;0;0;0;0;1;0;NA;NA;16/2/2012;NA;NA;0;0;Montevideo;No trabaja;2;NA;2;Montevideo Privada;0;0;0;0;0;0;0;0
199;2013;3. Plan 12   ;0;0;0;0;Montevideo;No posee;No corresponde;No trabajó y no busca trabajo;No corresponde;UTU Interior;19;t17.19;0;0;0;1;1;Asalariado;Asalariado;1;219;0;0;0;1;1;0;NA;18/2/2013;18/2/2013;NA;NA;0;0;Montevideo;No trabaja;1;1;1;Interior Publica;0;0;0;0;0;0;0;0
200;2012;3. Plan 12   ;20;20;20;20;Flores;No posee;No corresponde;No trabajó y no busca trabajo;No corresponde;Interior Publica;18;t17.19;0;0;0;1;1;Asalariado;No trabaja;1;112;0;0;0;1;1;0;NA;8/2/2012;8/2/2012;NA;NA;0;0;Interior;No trabaja;1;1;1;Interior Publica;0.222222222222222;20;0.111111111111111;20;0.0740740740740741;20;0.0555555555555556;20
201;2012;3. Plan 12   ;0;30;30;50;Montevideo;No posee;No corresponde;No trabajó y no busca trabajo;No corresponde;Montevideo Privada;19;t17.19;0;1;0;2;2;Cuenta propia;Cuenta propia;1;315;0;0;0;1;1;1;NA;13/2/2012;13/2/2012;13/2/2012;NA;0;0;Montevideo;No trabaja;2;2;2;Montevideo Privada;0;0;0.166666666666667;30;0.111111111111111;30;0.138888888888889;50
202;2013;3. Plan 12   ;10;40;115;125;Montevideo;Si posee;No corresponde;Trabajó y busca trabajo;No corresponde;Montevideo Publica;25;t23.26;1;0;0;3;2;No trabaja;Asalariado;1;179;1;0;0;1;1;1;NA;21/2/2013;21/2/2013;21/2/2013;24/6/2015;0;1;Montevideo;No trabaja;2;3;3;Montevideo Publica;0.111111111111111;10;0.222222222222222;40;0.425925925925926;115;0.347222222222222;125
203;2012;3. Plan 12   ;80;130;215;295;Montevideo;No posee;No corresponde;No trabajó y no busca trabajo;No corresponde;UTU Interior;18;t17.19;1;0;0;1;1;Asalariado;No trabaja;1;193;0;0;0;1;1;1;NA;15/2/2012;15/2/2012;15/3/2017;NA;0;0;Montevideo;No trabaja;1;1;1;Interior Publica;0.888888888888889;80;0.722222222222222;130;0.796296296296296;215;0.819444444444444;295
204;2012;3. Plan 12   ;90;130;180;245;Montevideo;No posee;No corresponde;No trabajó y no busca trabajo;No corresponde;Interior Publica;18;t17.19;0;0;0;1;3;Dirección;Asalariado;1;106;0;0;0;1;1;0;NA;7/2/2012;7/2/2012;NA;NA;0;0;Montevideo;No trabaja;3;1;3;Interior Publica;1;90;0.722222222222222;130;0.666666666666667;180;0.680555555555556;245
205;2012;3. Plan 12   ;20;50;50;50;Montevideo;No posee;No corresponde;No trabajó y no busca trabajo;No corresponde;Montevideo Privada;18;t17.19;1;0;0;2;2;Sin dato;Asalariado;1;48;0;0;0;1;1;0;NA;7/3/2012;7/3/2012;NA;NA;0;0;Montevideo;No trabaja;2;2;2;Montevideo Privada;0.222222222222222;20;0.277777777777778;50;0.185185185185185;50;0.138888888888889;50
206;2012;3. Plan 12   ;50;65;95;165;Río Negro;No posee;No corresponde;No trabajó y no busca trabajo;No corresponde;Interior Publica;18;t17.19;0;0;0;2;2;Cuenta propia;Cuenta propia;1;151;0;1;0;1;1;1;NA;3/2/2017;15/2/2012;15/2/2012;NA;0;1;Interior;No trabaja;2;2;2;Interior Publica;0.555555555555556;50;0.361111111111111;65;0.351851851851852;95;0.458333333333333;165
207;2012;3. Plan 12   ;0;0;0;0;Montevideo;No posee;No está relacionada;No corresponde;Trabaja de 31 a 40 hrs semanales;Montevideo Privada;18;t17.19;0;0;1;1;1;Asalariado;No trabaja;1;28;0;0;0;0;1;0;NA;NA;5/3/2012;NA;NA;0;0;Montevideo;Trabaja mas de 30 horas;1;1;1;Montevideo Privada;0;0;0;0;0;0;0;0
